id,name,username,email,sesion_1,trabajo_1,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
1,Silvia Carrasco,scarrasco664,scarrasco664@gmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-05T17:00:28.698177,2024-04-01T14:33:56.394923
2,María del Carmen Brito,mbrito260,mbrito260@hotmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-04T18:34:57.710390,2024-04-01T18:53:54.034291
3,Diana Garay,dgaray702,dgaray702@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T01:24:15.726142,2024-03-31T18:00:18.108240
4,Felix Caballero,fcaballero442,fcaballero442@gmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T21:53:42.472243,2024-03-29T21:45:37.629044
5,Benjamín Rico,brico233,brico233@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T02:38:30.008461,2024-03-30T19:21:16.025797
6,Rosario Nájera,rnájera213,rnájera213@itmerida.mx,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-06T14:26:11.491258,2024-04-01T01:16:51.737111
7,Asunción Curiel,acuriel469,acuriel469@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T13:08:45.726818,2024-03-30T15:15:46.893125
8,Silvia Valdés,svaldés787,svaldés787@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T19:00:42.437013,2024-04-01T09:37:26.716697
9,Citlali Reynoso,creynoso294,creynoso294@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T12:21:31.875358,2024-04-02T00:42:46.320793
10,Hernán Saucedo,hsaucedo114,hsaucedo114@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T07:37:58.503711,2024-03-30T02:18:58.156745
11,Norma Rocha,nrocha377,nrocha377@outlook.com,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-05T09:37:43.805480,2024-04-02T22:24:37.401859
