id,name,username,email,sesion_1,sesion_2,sesion_3,sesion_4,trabajo_1,trabajo_2,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
1,Silvia Carrasco,scarrasco664,scarrasco664@gmail.com,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,2,1,1,2,50.0,100.0,2024-02-05T01:47:22.777371,2024-03-31T04:59:00.182427
2,María del Carmen Brito,mbrito260,mbrito260@hotmail.com,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,0,0,3,2,1,0,75.0,0.0,2024-02-05T15:23:27.363741,2024-04-01T11:59:30.270421
3,Diana Garay,dgaray702,dgaray702@itmerida.mx,GRABACIÓN,EN VIVO,EN VIVO,EN VIVO,1,0,4,3,1,1,100.0,50.0,2024-02-06T02:08:22.459471,2024-03-31T23:27:17.209503
4,Felix Caballero,fcaballero442,fcaballero442@gmail.com,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-07T01:42:09.258175,2024-03-31T17:19:15.528795
5,Benjamín Rico,brico233,brico233@hotmail.com,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,0,1,3,3,0,1,75.0,50.0,2024-02-04T14:36:37.439750,2024-04-01T16:28:05.550522
6,Rosario Nájera,rnájera213,rnájera213@itmerida.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,2,2,0,2,50.0,100.0,2024-02-05T23:45:07.095960,2024-04-01T02:24:35.674340
7,Asunción Curiel,acuriel469,acuriel469@itmerida.mx,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,1,0,2,1,1,1,50.0,50.0,2024-02-03T22:40:09.351879,2024-03-30T14:31:04.081232
8,Silvia Valdés,svaldés787,svaldés787@hotmail.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,GRABACIÓN,1,0,4,0,4,1,100.0,50.0,2024-02-04T10:28:05.129752,2024-04-02T21:16:34.680179
9,Citlali Reynoso,creynoso294,creynoso294@hotmail.com,EN VIVO,EN VIVO,GRABACIÓN,EN VIVO,1,1,4,3,1,2,100.0,100.0,2024-02-06T03:47:52.400925,2024-04-02T16:11:16.444646
10,Hernán Saucedo,hsaucedo114,hsaucedo114@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,0,1,0.0,50.0,2024-02-04T21:09:38.670917,2024-04-01T15:39:20.401395
11,Norma Rocha,nrocha377,nrocha377@outlook.com,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-05T12:19:59.468617,2024-04-01T08:27:54.379366
12,Francisco Javier Lozada,flozada757,flozada757@uady.mx,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-03T23:04:00.719848,2024-04-02T19:42:06.070073
13,Jaqueline Domínguez,jdomínguez90,jdomínguez90@itmerida.mx,EN VIVO,SIN ASISTENCIA,GRABACIÓN,GRABACIÓN,1,0,3,1,2,1,75.0,50.0,2024-02-03T16:31:56.310771,2024-04-01T03:24:41.618816
14,Margarita Tamez,mtamez916,mtamez916@outlook.com,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-06T10:27:45.175648,2024-04-02T05:16:21.735612
