id,name,username,email,sesion_1,sesion_2,sesion_3,sesion_4,sesion_5,sesion_6,sesion_7,sesion_8,trabajo_1,trabajo_2,trabajo_3,trabajo_4,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
1,Silvia Carrasco,scarrasco664,scarrasco664@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,0,0,0,0,1,1,0,0,12.5,0.0,2024-02-04T00:02:46.654261,2024-04-02T09:08:50.397108
2,María del Carmen Brito,mbrito260,mbrito260@hotmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,1,0,0,4,4,0,2,50.0,50.0,2024-02-05T05:28:34.830862,2024-04-01T00:06:25.649161
3,Diana Garay,dgaray702,dgaray702@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,0,0,0,2,1,1,1,25.0,25.0,2024-02-05T23:38:31.543813,2024-04-01T15:42:30.160669
4,Felix Caballero,fcaballero442,fcaballero442@gmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,0,0,1,0,4,2,2,1,50.0,25.0,2024-02-05T07:04:33.293416,2024-04-02T17:02:14.433621
5,Benjamín Rico,brico233,brico233@hotmail.com,GRABACIÓN,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,0,0,1,0,4,1,3,1,50.0,25.0,2024-02-06T17:41:51.328298,2024-04-02T10:55:27.964561
6,Rosario Nájera,rnájera213,rnájera213@itmerida.mx,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,1,0,1,0,5,1,4,2,62.5,50.0,2024-02-07T01:19:05.161240,2024-04-02T09:57:51.874145
7,Asunción Curiel,acuriel469,acuriel469@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,2,2,0,1,25.0,25.0,2024-02-05T17:12:49.823287,2024-04-01T17:06:36.326975
8,Silvia Valdés,svaldés787,svaldés787@hotmail.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,2,1,1,2,25.0,50.0,2024-02-07T09:04:51.764658,2024-04-01T20:02:01.115334
9,Citlali Reynoso,creynoso294,creynoso294@hotmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,GRABACIÓN,0,1,0,0,5,4,1,1,62.5,25.0,2024-02-04T05:28:47.391331,2024-04-01T10:26:53.566818
10,Hernán Saucedo,hsaucedo114,hsaucedo114@gmail.com,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,0,1,1,0,3,2,1,2,37.5,50.0,2024-02-05T11:56:14.224484,2024-03-31T12:21:51.155036
