id,name,username,email,sesion_1,sesion_2,sesion_3,sesion_4,sesion_5,sesion_6,sesion_7,sesion_8,trabajo_1,trabajo_2,trabajo_3,trabajo_4,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
1,Silvia Carrasco,scarrasco664,scarrasco664@gmail.com,EN VIVO,EN VIVO,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,0,0,0,6,5,1,1,75.0,25.0,2024-02-03T23:24:14.999500,2024-04-01T23:44:40.893273
2,María del Carmen Brito,mbrito260,mbrito260@hotmail.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,1,3,0,3,3,37.5,75.0,2024-02-06T06:25:46.186264,2024-04-01T03:01:43.003484
3,Diana Garay,dgaray702,dgaray702@itmerida.mx,EN VIVO,SIN ASISTENCIA,EN VIVO,GRABACIÓN,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,1,0,0,0,6,4,2,1,75.0,25.0,2024-02-04T07:42:19.387774,2024-03-31T11:42:35.323391
4,Felix Caballero,fcaballero442,fcaballero442@gmail.com,EN VIVO,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,0,0,1,5,2,3,2,62.5,50.0,2024-02-03T15:13:54.773595,2024-04-01T23:05:16.745818
5,Benjamín Rico,brico233,brico233@hotmail.com,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,EN VIVO,1,1,1,1,6,5,1,4,75.0,100.0,2024-02-07T09:55:58.094500,2024-04-01T20:46:05.940891
6,Rosario Nájera,rnájera213,rnájera213@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,1,4,2,2,2,50.0,50.0,2024-02-03T19:46:55.787554,2024-04-01T11:57:38.508905
7,Asunción Curiel,acuriel469,acuriel469@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,0,3,1,2,3,37.5,75.0,2024-02-07T00:22:15.475210,2024-04-02T18:15:38.870676
8,Silvia Valdés,svaldés787,svaldés787@hotmail.com,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,0,3,3,0,3,37.5,75.0,2024-02-04T15:26:57.819901,2024-04-01T05:27:42.800457
9,Citlali Reynoso,creynoso294,creynoso294@hotmail.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,GRABACIÓN,GRABACIÓN,EN VIVO,EN VIVO,EN VIVO,1,1,1,0,8,3,5,3,100.0,75.0,2024-02-03T23:41:35.235805,2024-04-01T08:11:00.342100
10,Hernán Saucedo,hsaucedo114,hsaucedo114@gmail.com,GRABACIÓN,EN VIVO,EN VIVO,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,6,4,2,2,75.0,50.0,2024-02-06T14:09:27.666936,2024-03-31T14:14:26.696358
11,Norma Rocha,nrocha377,nrocha377@outlook.com,EN VIVO,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,1,1,0,4,2,2,3,50.0,75.0,2024-02-04T01:56:18.541762,2024-04-02T06:05:48.854109
12,Francisco Javier Lozada,flozada757,flozada757@uady.mx,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,3,3,0,2,37.5,50.0,2024-02-03T23:39:05.557928,2024-04-02T12:07:27.204698
13,Jaqueline Domínguez,jdomínguez90,jdomínguez90@itmerida.mx,EN VIVO,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,1,0,1,4,4,0,3,50.0,75.0,2024-02-07T00:44:56.001753,2024-04-02T08:47:01.681075
14,Margarita Tamez,mtamez916,mtamez916@outlook.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,3,2,1,2,37.5,50.0,2024-02-03T15:02:21.724400,2024-03-31T18:50:56.411337
15,Indira Barrientos,ibarrientos56,ibarrientos56@hotmail.com,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,0,1,1,0,5,4,1,2,62.5,50.0,2024-02-05T22:51:42.340325,2024-04-01T19:47:07.245963
16,Zacarías Ozuna,zozuna885,zozuna885@hotmail.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,0,1,1,1,6,1,5,3,75.0,75.0,2024-02-06T04:25:05.119278,2024-04-01T23:39:14.232953
17,Maximiliano Villalobos,mvillalobos294,mvillalobos294@uady.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,1,1,2,2,0,3,25.0,75.0,2024-02-07T01:03:39.268602,2024-04-01T20:36:32.351391
18,Nicolás Leiva,nleiva389,nleiva389@outlook.com,EN VIVO,SIN ASISTENCIA,EN VIVO,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,0,5,4,1,1,62.5,25.0,2024-02-03T21:37:46.679477,2024-04-01T02:23:47.576134
19,Eloisa Moreno,emoreno728,emoreno728@gmail.com,GRABACIÓN,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,5,2,3,2,62.5,50.0,2024-02-03T23:17:03.160989,2024-03-31T03:17:18.619639
20,Flavio Guzmán,fguzmán756,fguzmán756@hotmail.com,EN VIVO,EN VIVO,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,EN VIVO,1,0,1,0,6,4,2,2,75.0,50.0,2024-02-04T11:51:43.120960,2024-04-03T00:23:25.828127
21,Eduardo Quintero,equintero398,equintero398@outlook.com,GRABACIÓN,GRABACIÓN,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,5,3,2,1,62.5,25.0,2024-02-05T22:37:43.225172,2024-03-31T12:50:35.495366
22,Nicolás de la Crúz,ndelacrúz873,ndelacrúz873@gmail.com,EN VIVO,SIN ASISTENCIA,GRABACIÓN,EN VIVO,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,EN VIVO,1,0,0,0,6,3,3,1,75.0,25.0,2024-02-04T22:55:24.951423,2024-04-02T16:17:52.096633
23,María Teresa Ruiz,mruiz834,mruiz834@outlook.com,EN VIVO,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,1,1,1,1,4,2,2,4,50.0,100.0,2024-02-04T13:24:02.722785,2024-03-31T12:27:46.950375
24,Jacobo Báez,jbáez77,jbáez77@hotmail.com,GRABACIÓN,SIN ASISTENCIA,EN VIVO,EN VIVO,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,1,1,0,0,6,4,2,2,75.0,50.0,2024-02-03T17:52:29.066573,2024-04-01T23:26:54.967312
25,Mónica Villegas,mvillegas681,mvillegas681@uady.mx,GRABACIÓN,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,1,1,0,5,3,2,3,62.5,75.0,2024-02-05T13:07:44.384856,2024-04-01T04:13:51.748726
26,Marisol Camarillo,mcamarillo156,mcamarillo156@outlook.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,4,3,1,1,50.0,25.0,2024-02-03T20:32:55.065855,2024-04-03T00:18:48.658888
27,Tomás Tafoya,ttafoya772,ttafoya772@itmerida.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,1,4,3,1,2,50.0,50.0,2024-02-05T16:17:53.762280,2024-04-02T18:52:57.660291
28,Sandra Jaime,sjaime448,sjaime448@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,1,3,2,1,3,37.5,75.0,2024-02-06T14:37:05.281920,2024-03-31T16:30:36.368018
29,Francisco Javier Benítez,fbenítez234,fbenítez234@hotmail.com,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,1,3,1,2,3,37.5,75.0,2024-02-04T08:11:06.743257,2024-03-31T14:13:21.852839
30,Araceli Gaitán,agaitán783,agaitán783@gmail.com,EN VIVO,GRABACIÓN,EN VIVO,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,6,2,4,2,75.0,50.0,2024-02-05T06:42:33.249446,2024-04-01T18:06:20.835972
31,Jacinto Granado,jgranado652,jgranado652@hotmail.com,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,1,4,3,1,3,50.0,75.0,2024-02-06T07:19:19.273670,2024-04-02T23:05:12.433757
