id,name,username,email,sesion_1,sesion_2,sesion_3,sesion_4,sesion_5,sesion_6,sesion_7,sesion_8,trabajo_1,trabajo_2,trabajo_3,trabajo_4,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
1,Silvia Carrasco,scarrasco664,scarrasco664@gmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,2,2,0,2,25.0,50.0,2024-02-06T16:44:08.070832,2024-04-01T22:25:10.791349
2,María del Carmen Brito,mbrito260,mbrito260@hotmail.com,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,0,3,3,0,1,37.5,25.0,2024-02-06T07:38:39.881442,2024-03-31T20:48:17.733324
3,Diana Garay,dgaray702,dgaray702@itmerida.mx,EN VIVO,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,EN VIVO,SIN ASISTENCIA,0,0,0,0,6,4,2,0,75.0,0.0,2024-02-03T20:09:16.567092,2024-04-02T01:21:58.843553
4,Felix Caballero,fcaballero442,fcaballero442@gmail.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,3,1,2,1,37.5,25.0,2024-02-04T10:33:18.034453,2024-04-01T01:21:01.649312
5,Benjamín Rico,brico233,brico233@hotmail.com,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,1,0,1,0,12.5,0.0,2024-02-05T12:24:53.277527,2024-04-02T16:24:04.120392
6,Rosario Nájera,rnájera213,rnájera213@itmerida.mx,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,1,1,0,1,12.5,25.0,2024-02-04T17:26:38.720447,2024-04-01T05:41:11.674487
7,Asunción Curiel,acuriel469,acuriel469@itmerida.mx,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,1,1,0,1,2,12.5,50.0,2024-02-04T04:25:41.518881,2024-04-01T03:03:23.366392
8,Silvia Valdés,svaldés787,svaldés787@hotmail.com,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,2,1,1,1,25.0,25.0,2024-02-06T17:25:49.104936,2024-03-31T23:55:24.347748
9,Citlali Reynoso,creynoso294,creynoso294@hotmail.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,1,1,0,0,12.5,0.0,2024-02-05T12:36:03.288610,2024-04-01T17:40:52.472515
10,Hernán Saucedo,hsaucedo114,hsaucedo114@gmail.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,3,2,1,1,37.5,25.0,2024-02-06T22:49:12.577757,2024-04-02T02:42:51.365169
11,Norma Rocha,nrocha377,nrocha377@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,1,1,1,0,3,2,1,3,37.5,75.0,2024-02-03T16:04:39.877348,2024-04-02T04:45:12.980002
12,Francisco Javier Lozada,flozada757,flozada757@uady.mx,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,2,2,0,2,25.0,50.0,2024-02-05T02:55:28.405366,2024-03-31T03:23:18.795907
13,Jaqueline Domínguez,jdomínguez90,jdomínguez90@itmerida.mx,EN VIVO,SIN ASISTENCIA,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,3,2,1,2,37.5,50.0,2024-02-05T08:33:38.652678,2024-04-02T03:25:07.746852
14,Margarita Tamez,mtamez916,mtamez916@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,0,1,0,2,1,1,2,25.0,50.0,2024-02-04T12:39:30.623020,2024-03-31T10:06:49.294405
15,Indira Barrientos,ibarrientos56,ibarrientos56@hotmail.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,1,1,0,1,12.5,25.0,2024-02-04T13:23:05.012015,2024-04-02T19:28:25.528751
16,Zacarías Ozuna,zozuna885,zozuna885@hotmail.com,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,3,2,1,2,37.5,50.0,2024-02-06T15:30:23.538034,2024-03-31T03:09:51.570376
17,Maximiliano Villalobos,mvillalobos294,mvillalobos294@uady.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,0,0,0,0,4,2,2,0,50.0,0.0,2024-02-04T18:40:00.494942,2024-04-01T10:14:17.855221
18,Nicolás Leiva,nleiva389,nleiva389@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,1,0,0,0,4,0.0,100.0,2024-02-04T12:41:46.900211,2024-04-02T20:22:38.744949
19,Eloisa Moreno,emoreno728,emoreno728@gmail.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,0,3,3,0,1,37.5,25.0,2024-02-05T20:55:18.451788,2024-04-01T00:40:19.403978
20,Flavio Guzmán,fguzmán756,fguzmán756@hotmail.com,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,2,1,1,1,25.0,25.0,2024-02-04T11:39:56.791189,2024-04-02T23:03:48.115339
21,Eduardo Quintero,equintero398,equintero398@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,0,0,0,0,0.0,0.0,2024-02-06T15:51:48.889488,2024-03-31T12:41:24.583063
22,Nicolás de la Crúz,ndelacrúz873,ndelacrúz873@gmail.com,GRABACIÓN,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,3,1,2,0,37.5,0.0,2024-02-04T09:27:19.903251,2024-04-02T03:31:06.192050
23,María Teresa Ruiz,mruiz834,mruiz834@outlook.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,0,0,0,3,3,0,1,37.5,25.0,2024-02-07T06:20:02.462297,2024-04-01T02:15:27.010152
